symbol,name,market,exchange
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",us,NASDAQ
ALEC,"Alector, Inc. - Common Stock",us,NASDAQ
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,us,NASDAQ
ALFUU,Centurion Acquisition Corp. - Unit,us,NASDAQ
ALFUW,Centurion Acquisition Corp. - Warrant,us,NASDAQ
ALGM,"Allegro MicroSystems, Inc. - Common Stock",us,NASDAQ
ALGN,"Align Technology, Inc. - Common Stock",us,NASDAQ
ALGS,"Aligos Therapeutics, Inc. - Common stock",us,NASDAQ
ALGT,Allegiant Travel Company - Common Stock,us,NASDAQ
ALHC,"Alignment Healthcare, Inc. - Common Stock",us,NASDAQ
ALIL,Argent Focused Small Cap ETF,us,NASDAQ
ALIS,Calisa Acquisition Corp - Ordinary shares,us,NASDAQ
ALISR,Calisa Acquisition Corp - Right,us,NASDAQ
ALISU,Calisa Acquisition Corp - Units,us,NASDAQ
ALKS,Alkermes plc - Ordinary Shares,us,NASDAQ
ALKT,"Alkami Technology, Inc. - Common Stock",us,NASDAQ
ALLO,"Allogene Therapeutics, Inc. - Common Stock",us,NASDAQ
ALLR,"Allarity Therapeutics, Inc. - Common stock",us,NASDAQ
ALLT,Allot Ltd. - Ordinary Shares,us,NASDAQ
ALLW,State Street Bridgewater All Weather ETF,us,NASDAQ
ALM,Almonty Industries Inc. - Common Shares,us,NASDAQ
ALMR,"Alamar Biosciences, Inc. - Class A common stock",us,NASDAQ
ALMS,Alumis Inc. - Common Stock,us,NASDAQ
ALMU,"Aeluma, Inc. - Common Stock",us,NASDAQ
ALNT,Allient Inc. - Common Stock,us,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",us,NASDAQ
ALOT,"AstroNova, Inc. - Common Stock",us,NASDAQ
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",us,NASDAQ
ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Units",us,NASDAQ
ALOVW,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Warrants",us,NASDAQ
ALOY,REalloys Inc. - Common Stock,us,NASDAQ
ALP,Alpha Compute Corp  - Common Stock,us,NASDAQ
ALPS,ALPS Group Inc - Ordinary Share,us,NASDAQ
ALPX,Alpex Acquisition Corporation - Class A Ordinary Shares,us,NASDAQ
ALPXR,Alpex Acquisition Corporation - Rights,us,NASDAQ
ALPXU,Alpex Acquisition Corporation - Units,us,NASDAQ
ALPXW,Alpex Acquisition Corporation - Warrants,us,NASDAQ
ALRM,"Alarm.com Holdings, Inc. - Common Stock",us,NASDAQ
ALRS,Alerus Financial Corporation - Common Stock,us,NASDAQ
ALT,"Altimmune, Inc. - Common Stock",us,NASDAQ
ALTI,"AlTi Global, Inc. - Class A Common Stock",us,NASDAQ
ALTO,"Alto Ingredients, Inc. - Common Stock",us,NASDAQ
ALTY,Global X Alternative Income ETF,us,NASDAQ
ALVO,Alvotech - Ordinary Shares,us,NASDAQ
ALVOW,Alvotech - Warrant,us,NASDAQ
ALXO,ALX Oncology Holdings Inc. - Common Stock,us,NASDAQ
ALZN,"Alzamend Neuro, Inc. - Common Stock",us,NASDAQ
AMA,Defiance Daily Target 2X Long AMAT ETF,us,NASDAQ
AMAL,Amalgamated Financial Corp. - Common Stock,us,NASDAQ
AMAN,Amanat Acquisition Corp - Class A Ordinary Shares,us,NASDAQ
AMAT,"Applied Materials, Inc. - Common Stock",us,NASDAQ
AMBA,"Ambarella, Inc. - Ordinary Shares",us,NASDAQ
AMBR,Amber International Holding Limited - American Depositary Shares,us,NASDAQ
AMCI,AMC Robotics Corporation - Common Stock,us,NASDAQ
AMCX,AMC Global Media Inc. - Class A Common Stock,us,NASDAQ
AMD,"Advanced Micro Devices, Inc. - Common Stock",us,NASDAQ
AMDD,Direxion Daily AMD Bear 1X ETF,us,NASDAQ
AMDG,Leverage Shares 2X Long AMD Daily ETF,us,NASDAQ
AMDL,GraniteShares 2x Long AMD Daily ETF,us,NASDAQ
AMEI,Amana Equity Income ETF,us,NASDAQ
AMEM,Amana Developing World ETF,us,NASDAQ
AMGN,Amgen Inc. - Common Stock,us,NASDAQ
AMGR,Amana Growth ETF,us,NASDAQ
AMID,Argent Mid Cap ETF,us,NASDAQ
AMIX,"Autonomix Medical, Inc. - Common Stock",us,NASDAQ
AMKR,"Amkor Technology, Inc. - Common Stock",us,NASDAQ
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",us,NASDAQ
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",us,NASDAQ
AMODW,"Alpha Modus Holdings, Inc. - Warrant",us,NASDAQ
AMPG,"Amplitech Group, Inc. - Common Stock",us,NASDAQ
AMPGR,"Amplitech Group, Inc. - Series A Right",us,NASDAQ
AMPGZ,"Amplitech Group, Inc. - Series B Right",us,NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",us,NASDAQ
AMPL,"Amplitude, Inc. - Class A Common Stock",us,NASDAQ
AMRN,Amarin Corporation plc - American Depositary Shares,us,NASDAQ
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",us,NASDAQ
AMSC,American Superconductor Corporation - Common Stock,us,NASDAQ
AMSF,"AMERISAFE, Inc. - Common Stock",us,NASDAQ
AMSS,AMASS Brands Inc. - Common Stock,us,NASDAQ
AMST,Amesite Inc. - Common Stock,us,NASDAQ
AMTX,"Aemetis, Inc - Common Stock",us,NASDAQ
AMUN,abrdn Ultra Short Municipal Income Active ETF,us,NASDAQ
AMUU,Direxion Daily AMD Bull 2X ETF,us,NASDAQ
AMYY,GraniteShares YieldBOOST AMD ETF,us,NASDAQ
AMZD,Direxion Daily AMZN Bear 1X ETF,us,NASDAQ
AMZN,"Amazon.com, Inc. - Common Stock",us,NASDAQ
AMZU,Direxion Daily AMZN Bull 2X ETF,us,NASDAQ
AMZZ,GraniteShares 2x Long AMZN Daily ETF,us,NASDAQ
ANAB,"AnaptysBio, Inc. - Common Stock",us,NASDAQ
ANDE,"The Andersons, Inc. - Common Stock",us,NASDAQ
ANEL,Defiance Daily Target 2x Long ANET ETF,us,NASDAQ
ANGH,Anghami Inc. - Ordinary Shares,us,NASDAQ
ANGHW,Anghami Inc. - Warrants,us,NASDAQ
ANGI,Angi Inc. - Class A Common Stock,us,NASDAQ
ANGL,VanEck Fallen Angel High Yield Bond ETF,us,NASDAQ
ANGO,"AngioDynamics, Inc. - Common Stock",us,NASDAQ
ANIK,Anika Therapeutics Inc. - Common Stock,us,NASDAQ
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",us,NASDAQ
ANIX,"Anixa Biosciences, Inc. - Common Stock",us,NASDAQ
ANL,Adlai Nortye Ltd. - American Depositary Shares,us,NASDAQ
ANNA,"AleAnna, Inc. - Class A Common Stock",us,NASDAQ
ANNAW,"AleAnna, Inc. - Warrant",us,NASDAQ
ANNX,"Annexon, Inc. - common stock",us,NASDAQ
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,us,NASDAQ
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,us,NASDAQ
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,us,NASDAQ
ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,us,NASDAQ
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,us,NASDAQ
ANTX,"AN2 Therapeutics, Inc. - Common Stock",us,NASDAQ
ANV,GraniteShares Autocallable NVDA ETF,us,NASDAQ
ANY,Sphere 3D Corp. - Common Shares,us,NASDAQ
AOHY,Angel Oak High Yield Opportunities ETF,us,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,us,NASDAQ
AOTG,AOT Growth and Innovation ETF,us,NASDAQ
AOUT,"American Outdoor Brands, Inc. - Common Stock",us,NASDAQ
APA,APA Corporation - Common Stock,us,NASDAQ
APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,us,NASDAQ
APACR,StoneBridge Acquisition II Corporation - Rights,us,NASDAQ
APACU,StoneBridge Acquisition II Corporation - Units,us,NASDAQ
APC,ARKO Petroleum Corp. - Class A Common Stock,us,NASDAQ
APEI,"American Public Education, Inc. - Common Stock",us,NASDAQ
APGE,"Apogee Therapeutics, Inc. - Common Stock",us,NASDAQ
API,"Agora, Inc. - ADS",us,NASDAQ
APLD,Applied Digital Corporation - Common Stock,us,NASDAQ
APLM,Apollomics Inc. - Class A Ordinary Shares,us,NASDAQ
APLMW,Apollomics Inc. - Warrant,us,NASDAQ
APM,Aptorum Group Limited - Class A Ordinary Shares,us,NASDAQ
APMC,AmperCap Acquisition Company - Ordinary Shares,us,NASDAQ
APMCR,AmperCap Acquisition Company - Right,us,NASDAQ
APMCU,AmperCap Acquisition Company - Unit,us,NASDAQ
APOG,"Apogee Enterprises, Inc. - Common Stock",us,NASDAQ
APP,Applovin Corporation - Class A Common Stock,us,NASDAQ
APPF,"AppFolio, Inc. - Class A Common Stock",us,NASDAQ
APPN,Appian Corporation - Class A Common Stock,us,NASDAQ
APPS,"Digital Turbine, Inc. - Common Stock",us,NASDAQ
APPX,Tradr 2X Long APP Daily ETF,us,NASDAQ
APRE,"Aprea Therapeutics, Inc. - Common Stock",us,NASDAQ
APUR,Aperture AC - Class A Ordinary Shares,us,NASDAQ
APURR,Aperture AC - Rights,us,NASDAQ
APVO,Aptevo Therapeutics Inc. - Common Stock,us,NASDAQ
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",us,NASDAQ
APXT,Apex Treasury Corporation - Class A Ordinary Share,us,NASDAQ
APXTU,Apex Treasury Corporation - Units,us,NASDAQ
APXTW,Apex Treasury Corporation - Warrants,us,NASDAQ
APYX,Apyx Medical Corporation - Common Stock,us,NASDAQ
AQB,"AquaBounty Technologies, Inc. - Common Stock",us,NASDAQ
AQLG,HCM Large Cap Growth ETF,us,NASDAQ
AQMS,"Aqua Metals, Inc. - Common Stock",us,NASDAQ
AQST,"Aquestive Therapeutics, Inc. - Common Stock",us,NASDAQ
AQWA,Global X Clean Water ETF,us,NASDAQ
ARAI,Arrive AI Inc. - Common Stock,us,NASDAQ
ARAY,Accuray Incorporated - Common Stock,us,NASDAQ
ARBB,ARB IOT Group Limited - Ordinary Shares,us,NASDAQ
ARBE,Arbe Robotics Ltd. - Ordinary Shares,us,NASDAQ
ARBEW,Arbe Robotics Ltd. - Warrant,us,NASDAQ
ARBK,Argo Blockchain plc - American Depositary Shares,us,NASDAQ
ARCB,ArcBest Corporation - Common Stock,us,NASDAQ
ARCC,Ares Capital Corporation - Closed End Fund,us,NASDAQ
ARCI,Archimedes Tech SPAC Partners III Co. - Ordinary Share,us,NASDAQ
ARCIU,Archimedes Tech SPAC Partners III Co. - Unit,us,NASDAQ
ARCIW,Archimedes Tech SPAC Partners III Co. - Warrant,us,NASDAQ
ARCL,ARC Group Acquisition I Corp - Class A Ordinary Shares,us,NASDAQ
ARCLR,ARC Group Acquisition I Corp - Right,us,NASDAQ
ARCLU,ARC Group Acquisition I Corp - Unit,us,NASDAQ
ARCLW,ARC Group Acquisition I Corp - Warrants,us,NASDAQ
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,us,NASDAQ
ARDX,"Ardelyx, Inc. - Common Stock",us,NASDAQ
AREC,American Resources Corporation - Class A Common Stock,us,NASDAQ
